               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034966,            0.054652,            0.011174,             0.72814,             0.73257,             0.76113,             0.44162,            0.042849,            0.078415,             0.02179,            0.007624,            0.007624,            0.007624
                  38,            0.035227,            0.050711,            0.010337,             0.73284,             0.75089,             0.76616,             0.42368,            0.041132,            0.078232,            0.021218,            0.007558,            0.007558,            0.007558
                  39,            0.038044,            0.056156,            0.011376,             0.72922,             0.75493,             0.75885,             0.40052,            0.043324,            0.078369,            0.022041,            0.007492,            0.007492,            0.007492
                  40,            0.036738,            0.051811,            0.011208,             0.71451,             0.74161,             0.74961,              0.4247,            0.042704,             0.07869,            0.021747,            0.007426,            0.007426,            0.007426
                  41,            0.035743,            0.053927,            0.011365,             0.72799,             0.76085,             0.76388,             0.40229,            0.043819,            0.081314,            0.021261,             0.00736,             0.00736,             0.00736
                  42,            0.039253,            0.055434,            0.010911,             0.71417,             0.75334,             0.75137,             0.44076,            0.040889,            0.081894,            0.021261,            0.007294,            0.007294,            0.007294
                  43,            0.035289,            0.055217,            0.010616,              0.7162,             0.76357,             0.76327,             0.40532,            0.043859,            0.081055,            0.020657,            0.007228,            0.007228,            0.007228
                  44,            0.036346,            0.050873,            0.009943,             0.74936,             0.75661,             0.77717,             0.47703,            0.039631,            0.080338,             0.02078,            0.007162,            0.007162,            0.007162
                  45,            0.036354,            0.053588,            0.011024,             0.73049,             0.73817,             0.78047,             0.45053,            0.041314,            0.082367,            0.020866,            0.007096,            0.007096,            0.007096
                  46,            0.035498,            0.055954,            0.011318,             0.72796,             0.76249,             0.77278,             0.43172,            0.040996,            0.079468,            0.020209,             0.00703,             0.00703,             0.00703
                  47,            0.035302,            0.051279,            0.011115,             0.75303,             0.75685,             0.77998,             0.44419,             0.04116,             0.07988,            0.020919,            0.006964,            0.006964,            0.006964
                  48,            0.034234,            0.050927,            0.011211,             0.74651,               0.773,              0.7829,             0.45765,             0.04115,             0.08432,            0.020748,            0.006898,            0.006898,            0.006898
                  49,            0.033772,            0.059004,            0.010922,             0.70374,             0.77211,              0.7746,             0.42895,            0.041276,            0.086121,            0.020625,            0.006832,            0.006832,            0.006832
                  50,            0.031809,            0.054909,            0.011053,             0.72532,             0.75108,             0.77875,             0.48553,            0.039471,            0.082291,            0.020636,            0.006766,            0.006766,            0.006766
